event,record,side,time_seconds,trial
recurring_load_peak_candidate,sir_1,L,6.79,1
recurring_load_peak_candidate,sir_1,L,7.98,1
recurring_load_peak_candidate,sir_1,L,9.55,1
recurring_load_peak_candidate,sir_1,L,10.58,1
recurring_load_peak_candidate,sir_1,L,12.25,1
recurring_load_peak_candidate,sir_1,L,13.52,1
recurring_load_peak_candidate,sir_1,L,14.7,1
recurring_load_peak_candidate,sir_1,L,16.28,1
recurring_load_peak_candidate,sir_1,L,17.56,1
recurring_load_peak_candidate,sir_1,L,18.82,1
recurring_load_peak_candidate,sir_1,L,20.07,1
recurring_load_peak_candidate,sir_1,L,20.97,1
recurring_load_peak_candidate,sir_1,R,7.45,1
recurring_load_peak_candidate,sir_1,R,8.5,1
recurring_load_peak_candidate,sir_1,R,9.87,1
recurring_load_peak_candidate,sir_1,R,11.15,1
recurring_load_peak_candidate,sir_1,R,12.48,1
recurring_load_peak_candidate,sir_1,R,13.68,1
recurring_load_peak_candidate,sir_1,R,15.22,1
recurring_load_peak_candidate,sir_1,R,16.63,1
recurring_load_peak_candidate,sir_1,R,17.87,1
recurring_load_peak_candidate,sir_1,R,19.09,1
recurring_load_peak_candidate,sir_1,R,20.31,1
recurring_load_peak_candidate,sir_1,L,10.16,2
recurring_load_peak_candidate,sir_1,L,11.9,2
recurring_load_peak_candidate,sir_1,R,5.01,2
recurring_load_peak_candidate,sir_1,R,6.2,2
recurring_load_peak_candidate,sir_1,R,7.43,2
recurring_load_peak_candidate,sir_1,L,7.11,3
recurring_load_peak_candidate,sir_1,L,8.28,3
recurring_load_peak_candidate,sir_1,L,9.49,3
recurring_load_peak_candidate,sir_1,L,10.53,3
recurring_load_peak_candidate,sir_1,L,11.96,3
recurring_load_peak_candidate,sir_1,L,13.15,3
recurring_load_peak_candidate,sir_1,L,14.67,3
recurring_load_peak_candidate,sir_1,L,15.64,3
recurring_load_peak_candidate,sir_1,L,17.04,3
recurring_load_peak_candidate,sir_1,L,18.33,3
recurring_load_peak_candidate,sir_1,L,19.9,3
recurring_load_peak_candidate,sir_1,R,6.27,3
recurring_load_peak_candidate,sir_1,R,7.42,3
recurring_load_peak_candidate,sir_1,R,8.59,3
recurring_load_peak_candidate,sir_1,R,9.83,3
