event,record,side,time_seconds,trial
recurring_load_peak_candidate,abh_1,L,4.19,1
recurring_load_peak_candidate,abh_1,L,5.03,1
recurring_load_peak_candidate,abh_1,L,6.1,1
recurring_load_peak_candidate,abh_1,L,7.29,1
recurring_load_peak_candidate,abh_1,L,8.48,1
recurring_load_peak_candidate,abh_1,L,9.73,1
recurring_load_peak_candidate,abh_1,L,10.81,1
recurring_load_peak_candidate,abh_1,L,12.43,1
recurring_load_peak_candidate,abh_1,L,13.69,1
recurring_load_peak_candidate,abh_1,L,14.79,1
recurring_load_peak_candidate,abh_1,L,15.9,1
recurring_load_peak_candidate,abh_1,L,17.28,1
recurring_load_peak_candidate,abh_1,R,3.64,1
recurring_load_peak_candidate,abh_1,R,4.68,1
recurring_load_peak_candidate,abh_1,R,5.51,1
recurring_load_peak_candidate,abh_1,R,6.6,1
recurring_load_peak_candidate,abh_1,R,7.8,1
recurring_load_peak_candidate,abh_1,R,9.01,1
recurring_load_peak_candidate,abh_1,R,10.2,1
recurring_load_peak_candidate,abh_1,R,11.33,1
recurring_load_peak_candidate,abh_1,R,12.7,1
recurring_load_peak_candidate,abh_1,R,13.91,1
recurring_load_peak_candidate,abh_1,R,15.04,1
recurring_load_peak_candidate,abh_1,R,16.57,1
recurring_load_peak_candidate,abh_1,L,3.85,2
recurring_load_peak_candidate,abh_1,L,4.52,2
recurring_load_peak_candidate,abh_1,L,5.58,2
recurring_load_peak_candidate,abh_1,L,6.74,2
recurring_load_peak_candidate,abh_1,L,8.2,2
recurring_load_peak_candidate,abh_1,L,9.07,2
recurring_load_peak_candidate,abh_1,L,10.31,2
recurring_load_peak_candidate,abh_1,L,11.53,2
recurring_load_peak_candidate,abh_1,L,12.69,2
recurring_load_peak_candidate,abh_1,L,13.93,2
recurring_load_peak_candidate,abh_1,L,15.14,2
recurring_load_peak_candidate,abh_1,R,2.95,2
recurring_load_peak_candidate,abh_1,R,4.03,2
recurring_load_peak_candidate,abh_1,R,4.99,2
recurring_load_peak_candidate,abh_1,R,6.11,2
recurring_load_peak_candidate,abh_1,R,7.26,2
recurring_load_peak_candidate,abh_1,R,8.43,2
recurring_load_peak_candidate,abh_1,R,9.61,2
recurring_load_peak_candidate,abh_1,R,10.83,2
recurring_load_peak_candidate,abh_1,R,12.03,2
recurring_load_peak_candidate,abh_1,R,13.28,2
recurring_load_peak_candidate,abh_1,R,14.43,2
recurring_load_peak_candidate,abh_1,R,15.7,2
recurring_load_peak_candidate,abh_1,R,17.24,2
recurring_load_peak_candidate,abh_1,L,2.58,3
recurring_load_peak_candidate,abh_1,L,3.82,3
recurring_load_peak_candidate,abh_1,L,4.63,3
recurring_load_peak_candidate,abh_1,L,5.82,3
recurring_load_peak_candidate,abh_1,L,7.02,3
recurring_load_peak_candidate,abh_1,L,8.22,3
recurring_load_peak_candidate,abh_1,L,9.4,3
recurring_load_peak_candidate,abh_1,L,10.53,3
recurring_load_peak_candidate,abh_1,L,12.03,3
recurring_load_peak_candidate,abh_1,L,13.19,3
recurring_load_peak_candidate,abh_1,L,14.44,3
recurring_load_peak_candidate,abh_1,L,15.55,3
recurring_load_peak_candidate,abh_1,L,16.88,3
recurring_load_peak_candidate,abh_1,R,3.29,3
recurring_load_peak_candidate,abh_1,R,4.08,3
recurring_load_peak_candidate,abh_1,R,5.15,3
recurring_load_peak_candidate,abh_1,R,6.4,3
recurring_load_peak_candidate,abh_1,R,7.61,3
recurring_load_peak_candidate,abh_1,R,8.76,3
recurring_load_peak_candidate,abh_1,R,9.92,3
recurring_load_peak_candidate,abh_1,R,11.11,3
recurring_load_peak_candidate,abh_1,R,12.33,3
recurring_load_peak_candidate,abh_1,R,13.55,3
recurring_load_peak_candidate,abh_1,R,14.7,3
recurring_load_peak_candidate,abh_1,R,15.86,3
recurring_load_peak_candidate,abh_1,L,4.93,4
recurring_load_peak_candidate,abh_1,L,5.98,4
recurring_load_peak_candidate,abh_1,L,6.78,4
recurring_load_peak_candidate,abh_1,L,8.26,4
recurring_load_peak_candidate,abh_1,L,9.38,4
recurring_load_peak_candidate,abh_1,L,10.51,4
recurring_load_peak_candidate,abh_1,L,11.53,4
recurring_load_peak_candidate,abh_1,L,12.69,4
recurring_load_peak_candidate,abh_1,L,13.9,4
recurring_load_peak_candidate,abh_1,L,15.14,4
recurring_load_peak_candidate,abh_1,L,16.28,4
recurring_load_peak_candidate,abh_1,R,3.94,4
recurring_load_peak_candidate,abh_1,R,5.12,4
recurring_load_peak_candidate,abh_1,R,6.25,4
recurring_load_peak_candidate,abh_1,R,7.31,4
recurring_load_peak_candidate,abh_1,R,8.48,4
recurring_load_peak_candidate,abh_1,R,9.87,4
recurring_load_peak_candidate,abh_1,R,10.87,4
recurring_load_peak_candidate,abh_1,R,12.03,4
recurring_load_peak_candidate,abh_1,R,13.31,4
recurring_load_peak_candidate,abh_1,R,14.48,4
recurring_load_peak_candidate,abh_1,R,15.57,4
recurring_load_peak_candidate,abh_1,R,16.84,4
recurring_load_peak_candidate,abh_1,L,2.94,5
recurring_load_peak_candidate,abh_1,L,3.62,5
recurring_load_peak_candidate,abh_1,L,4.83,5
recurring_load_peak_candidate,abh_1,L,6.06,5
recurring_load_peak_candidate,abh_1,L,7.24,5
recurring_load_peak_candidate,abh_1,L,8.44,5
recurring_load_peak_candidate,abh_1,L,9.92,5
recurring_load_peak_candidate,abh_1,L,11.13,5
recurring_load_peak_candidate,abh_1,L,12.34,5
recurring_load_peak_candidate,abh_1,L,13.56,5
recurring_load_peak_candidate,abh_1,L,14.71,5
recurring_load_peak_candidate,abh_1,L,15.94,5
recurring_load_peak_candidate,abh_1,L,17.64,5
recurring_load_peak_candidate,abh_1,R,2.27,5
recurring_load_peak_candidate,abh_1,R,3.06,5
recurring_load_peak_candidate,abh_1,R,4.13,5
recurring_load_peak_candidate,abh_1,R,5.37,5
recurring_load_peak_candidate,abh_1,R,6.55,5
recurring_load_peak_candidate,abh_1,R,7.81,5
recurring_load_peak_candidate,abh_1,R,8.94,5
recurring_load_peak_candidate,abh_1,R,10.28,5
recurring_load_peak_candidate,abh_1,R,11.41,5
recurring_load_peak_candidate,abh_1,R,12.71,5
recurring_load_peak_candidate,abh_1,R,13.87,5
recurring_load_peak_candidate,abh_1,R,14.98,5
recurring_load_peak_candidate,abh_1,L,4.79,6
recurring_load_peak_candidate,abh_1,L,5.93,6
recurring_load_peak_candidate,abh_1,L,6.87,6
recurring_load_peak_candidate,abh_1,L,8.31,6
recurring_load_peak_candidate,abh_1,L,9.5,6
recurring_load_peak_candidate,abh_1,L,10.43,6
recurring_load_peak_candidate,abh_1,L,11.7,6
recurring_load_peak_candidate,abh_1,L,12.94,6
recurring_load_peak_candidate,abh_1,L,14.16,6
recurring_load_peak_candidate,abh_1,L,15.39,6
recurring_load_peak_candidate,abh_1,L,16.6,6
recurring_load_peak_candidate,abh_1,R,3.89,6
recurring_load_peak_candidate,abh_1,R,5.01,6
recurring_load_peak_candidate,abh_1,R,6.24,6
