alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,png,quality_json,record,reference_limb,remaining_missing_signal_values,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
8.59,6.98,paired trigger interval,True,27.57,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,4.2,22.25,24,12,12,3.3,6,vipin_1/trial_01_l_complete.png,"{""F"": {""coverage_fraction"": 0.9996374184191443, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}, ""L"": {""coverage_fraction"": 0.9996374184191443, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}, ""R"": {""coverage_fraction"": 0.9989122552574329, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}}",vipin_1,L,0,segmented_data\vipin_1\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,8.59,6.98,model-assisted provisional six-phase fit,0.3729,moderate pattern evidence,1,model_completed
8.59,6.98,paired trigger interval,True,27.57,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,4.2,22.25,24,12,12,3.3,6,vipin_1/trial_01_r_complete.png,"{""F"": {""coverage_fraction"": 0.9996374184191443, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}, ""L"": {""coverage_fraction"": 0.9996374184191443, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}, ""R"": {""coverage_fraction"": 0.9989122552574329, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 247.45, ""aligned_master_end"": 275.02}}",vipin_1,L,0,segmented_data\vipin_1\trial_01_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,8.59,6.98,model-assisted provisional six-phase fit,0.3729,moderate pattern evidence,1,model_completed
16.38,6.04,paired trigger interval,True,25.79,0,All events provisional; pressure extrema are not heel-strike labels; sustained onset with initial standing not resolved; reconstructed values can affect boundaries; absent phases are not invented; ,3.08,21.28,20,12,11,2.28,6,vipin_1/trial_02_l_complete.png,"{""F"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}, ""L"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}, ""R"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}}",vipin_1,,0,segmented_data\vipin_1\trial_02_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.09,9.4,model-assisted provisional six-phase fit,,model-assisted; unverified,2,model_completed
16.38,6.04,paired trigger interval,True,25.79,0,All events provisional; pressure extrema are not heel-strike labels; sustained onset with initial standing not resolved; reconstructed values can affect boundaries; absent phases are not invented; ,3.08,21.28,20,12,11,2.28,6,vipin_1/trial_02_r_complete.png,"{""F"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}, ""L"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}, ""R"": {""coverage_fraction"": 0.9996124031007751, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 290.35, ""aligned_master_end"": 316.14}}",vipin_1,,0,segmented_data\vipin_1\trial_02_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.09,9.4,model-assisted provisional six-phase fit,,model-assisted; unverified,2,model_completed
9.42,6.03,paired trigger interval,True,25.47,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,2.83,21.44,6,10,12,1.95,6,vipin_1/trial_03_l_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}, ""L"": {""coverage_fraction"": 0.9992150706436421, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}, ""R"": {""coverage_fraction"": 0.999607535321821, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}}",vipin_1,R,0,segmented_data\vipin_1\trial_03_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,7.68,6.03,model-assisted provisional six-phase fit,0.2905,weak/ambiguous pattern evidence,3,model_completed
9.42,6.03,paired trigger interval,True,25.47,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,2.83,21.44,6,10,12,1.95,6,vipin_1/trial_03_r_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}, ""L"": {""coverage_fraction"": 0.9992150706436421, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}, ""R"": {""coverage_fraction"": 0.999607535321821, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 326.09, ""aligned_master_end"": 351.56}}",vipin_1,R,0,segmented_data\vipin_1\trial_03_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,7.68,6.03,model-assisted provisional six-phase fit,0.2905,weak/ambiguous pattern evidence,3,model_completed
10.86,7.37,paired trigger interval,True,25.63,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.18,21.08,20,8,11,2.1,6,vipin_1/trial_04_l_complete.png,"{""F"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}, ""L"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}, ""R"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}}",vipin_1,R,0,segmented_data\vipin_1\trial_04_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,9.23,7.37,model-assisted provisional six-phase fit,0.2613,weak/ambiguous pattern evidence,4,model_completed
10.86,7.37,paired trigger interval,True,25.63,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.18,21.08,20,8,11,2.1,6,vipin_1/trial_04_r_complete.png,"{""F"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}, ""L"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}, ""R"": {""coverage_fraction"": 0.999609984399376, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 357.26, ""aligned_master_end"": 382.89}}",vipin_1,R,0,segmented_data\vipin_1\trial_04_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,9.23,7.37,model-assisted provisional six-phase fit,0.2613,weak/ambiguous pattern evidence,4,model_completed
10.83,10.06,paired trigger interval,True,25.05,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,3.19,20.82,4,12,12,2.45,6,vipin_1/trial_05_l_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}, ""L"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}, ""R"": {""coverage_fraction"": 0.9992019154030327, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}}",vipin_1,L,0,segmented_data\vipin_1\trial_05_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.83,10.06,model-assisted provisional six-phase fit,0.4065,moderate pattern evidence,5,model_completed
10.83,10.06,paired trigger interval,True,25.05,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,3.19,20.82,4,12,12,2.45,6,vipin_1/trial_05_r_complete.png,"{""F"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}, ""L"": {""coverage_fraction"": 1.0, ""source"": ""dataset\\Sub02_A\\vipin_1L"", ""invalid_rows"": 3, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}, ""R"": {""coverage_fraction"": 0.9992019154030327, ""source"": ""dataset\\Sub02_A\\vipin_1R"", ""invalid_rows"": 4, ""excluded_timestamp_outliers"": 0, ""boundary_trigger_matches"": {""start"": true, ""end"": true}, ""aligned_master_start"": 388.67, ""aligned_master_end"": 413.72}}",vipin_1,L,0,segmented_data\vipin_1\trial_05_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.83,10.06,model-assisted provisional six-phase fit,0.4065,moderate pattern evidence,5,model_completed
